Temporada;Equipo;Técnicos en temporada;Cantidad de técnicos;Cambios de técnico
2019;CSD Colo-Colo;Héctor Tapia, Pablo Guede, Agustín Salvatierra;3;2
2019;CD Universidad Católica;Beñat San José;1;0
2019;Universidad de Chile;Esteban Valencia, Frank Darío Kudelka, Ángel Guillermo Hoyos;3;2
2019;Unión La Calera;Francisco Meneghini, Víctor Rivero;2;1
2019;Universidad de Concepción;Francisco Bozán;1;0
2019;CD Everton;Javier Torrente, Pablo Sánchez;2;1
2019;Deportes Antofagasta;Gerardo Ameli;1;0
2019;CD Palestino;Sebastián Méndez, Ivo Basay, Germán Cavalieri;3;2
2019;CD Huachipato;Nicolás Larcamón;1;0
2019;Deportes Iquique;Luis Musrri, Erick Guerrero, Miguel Riffo;3;2
2019;Unión Española;Martín Palermo, Fernando Díaz;2;1
2019;CD O'Higgins;Mauricio Larriera, Marco Antonio Figueroa, Gabriel Milito;3;2
2019;CD Cobresal;Gustavo Huerta;1;0
2019;Coquimbo Unido;Patricio Graff;1;0
2019;Curicó Unido;Luis Marcoleta, Damián Muñoz, Jaime Vera;3;2
2019;Audax Italiano;Hugo Vilches, Juan José Ribera;2;1
2020;CSD Colo-Colo;Mario Salas;1;0
2020;CD Universidad Católica;Gustavo Quinteros;1;0
2020;CD Everton;Javier Torrente, Gustavo Díaz;2;1
2020;CD Palestino;Ivo Basay;1;0
2020;Unión La Calera;Walter Coyette, Francisco Meneghini;2;1
2020;Universidad de Chile;Frank Darío Kudelka, Alfredo Arias, Hernán Caputto;3;2
2020;CD O'Higgins;Marco Antonio Figueroa;1;0
2020;Unión Española;Ronald Fuentes, Fernando Díaz;2;1
2020;Deportes Iquique;Pablo Sánchez, Jaime Vera;2;1
2020;Deportes La Serena;Luis Marcoleta;1;0
2020;Deportes Antofagasta;Walter Fiori, Juan Manuel Azconzábal, Gerardo Ameli;3;2
2020;Santiago Wanderers;Miguel Ramírez;1;0
2020;CD Huachipato;Gustavo Florentín, Nicolás Larcamón;2;1
2020;Universidad de Concepción;Francisco Bozán;1;0
2020;Coquimbo Unido;Patricio Graff;1;0
2020;Curicó Unido;Hugo Vilches, Dalcio Giovagnoli, Jaime Vera;3;2
2020;Audax Italiano;Juan José Ribera;1;0
2020;CD Cobresal;Gustavo Huerta;1;0
2021;CSD Colo-Colo;Gustavo Quinteros, Mario Salas, Gualberto Jara;3;2
2021;CD Universidad Católica;Ariel Holan;1;0
2021;Unión Española;Ronald Fuentes;1;0
2021;CD Palestino;José Luis Sierra, Ivo Basay;2;1
2021;Universidad de Chile;Marcelo Jara, Hernán Caputto, Rafael Dudamel;3;2
2021;Unión La Calera;Juan Pablo Vojvoda;1;0
2021;Deportes La Serena;Óscar Correa, Francisco Bozán, Miguel Ponce;3;2
2021;Deportes Antofagasta;Héctor Almandoz, Juan Manuel Azconzábal, Héctor Tapia, Diego Reveco;4;3
2021;CD O'Higgins;Víctor Fuentes, Dalcio Giovagnoli, Patricio Graff;3;2
2021;CD Everton;Javier Torrente, Christian Ochoa, Roberto Sensini;3;2
2021;Audax Italiano;Pablo Sánchez, Francisco Meneghini, José Calderón;3;2
2021;CD Huachipato;Gustavo Florentín;1;0
2021;Curicó Unido;Martín Palermo, Javier Bergés, Nicolás Larcamón, Damián Muñoz;4;3
2021;CD Ñublense;Jaime García;1;0
2021;Santiago Wanderers;Miguel Ramírez;1;0
2021;CD Cobresal;Gustavo Huerta;1;0
2021;Deportes Melipilla;Héctor Adomaitis, John Armijo;2;1
2022;CD Universidad Católica;Gustavo Poyet, Cristian Paulucci, Ariel Holan;3;2
2022;CSD Colo-Colo;Gustavo Quinteros;1;0
2022;Universidad de Chile;Esteban Valencia, Cristián Romero, Rafael Dudamel;3;2
2022;CD Palestino;Patricio Graff, José Luis Sierra;2;1
2022;Deportes Antofagasta;Héctor Tapia, Diego Reveco, Juan José Ribera;3;2
2022;CD Everton;Roberto Sensini;1;0
2022;CD O'Higgins;Miguel Ramírez, Dalcio Giovagnoli;2;1
2022;Unión Española;Jorge Pellicer, Ronald Fuentes, César Bravo;3;2
2022;CD Huachipato;Juan José Luvera, Gustavo Florentín, Mario Salas;3;2
2022;Coquimbo Unido;Héctor Tapia, Juan José Ribera;2;1
2022;Unión La Calera;Juan Pablo Vojvoda, Francisco Meneghini, Luca Marcogiuseppe;3;2
2022;CD Ñublense;Jaime García;1;0
2022;Audax Italiano;Pablo Sánchez;1;0
2022;Deportes La Serena;Óscar Correa, Ivo Basay, Miguel Ponce;3;2
2022;CD Cobresal;Gustavo Huerta;1;0
2022;Curicó Unido;Martín Palermo, Damián Muñoz;2;1
2023;CSD Colo-Colo;Gustavo Quinteros;1;0
2023;CD Universidad Católica;Cristian Paulucci, Rodrigo Valenzuela, Ariel Holan;3;2
2023;Universidad de Chile;Sebastián Miranda, Diego López, Santiago Escobar;3;2
2023;CD Ñublense;Jaime García;1;0
2023;CD Palestino;Gustavo Costas;1;0
2023;Unión Española;Gustavo Canales, César Bravo;2;1
2023;CD Everton;Francisco Meneghini;1;0
2023;Unión La Calera;Carlos Galdames, Federico Vilar, Martín Anselmi;3;2
2023;Curicó Unido;Damián Muñoz;1;0
2023;Audax Italiano;Ronald Fuentes, Juan José Ribera;2;1
2023;CD Huachipato;Mario Salas;1;0
2023;Coquimbo Unido;Patricio Graff, Fernando Díaz;2;1
2023;CD O'Higgins;Mariano Soso;1;0
2023;CD Cobresal;Gustavo Huerta;1;0
2023;Magallanes;Nicolás Núñez;1;0
2023;Deportes Copiapó;Héctor Almandoz, Rubén Sánchez, Erwin Durán;3;2
2024;CSD Colo-Colo;Gustavo Quinteros;1;0
2024;CD Universidad Católica;Rodrigo Valenzuela, Ariel Holan, Nicolás Núñez;3;2
2024;CD Everton;Francisco Meneghini;1;0
2024;Universidad de Chile;Mauricio Pellegrino;1;0
2024;CD O'Higgins;Juan Manuel Azconzábal, Pablo de Muner;2;1
2024;Unión La Calera;Gerardo Ameli, Martín Cicotello, Carlos Galdames;3;2
2024;Unión Española;Ronald Fuentes;1;0
2024;Audax Italiano;José Calderón, Manuel Fernández, Luca Marcogiuseppe, Francisco Arrué;4;3
