Temporada;Equipo;Técnico 1;Técnico 2;Técnico 3;Técnico 4;Técnico 5;Cantidad de técnicos;Cambios de técnico;Posición final torneo
2018;CSD Colo-Colo;Héctor Tapia;Pablo Guede;Agustín Salvatierra;;;3;2;5
2018;CD Universidad Católica;Beñat San José;;;;;1;0;1
2018;Universidad de Chile;Esteban Valencia;Frank Drío Kudelka;Ángel Guillermo Hoyos;;;3;2;3
2018;Unión La Calera;Francisco Meneghini;Víctor Rivero;;;;2;1;6
2018;Universidad de Concepción;Francisco Bozán;;;;;1;0;2
2018;CD Everton;Javier Torrente;Pablo Sánchez;;;;2;1;11
2018;Deportes Antofagasta;Gerardo Ameli;;;;;1;0;4
2018;CD Palestino;Sebastián Méndez;Ivo Bassay;Germán Cavalieri;;;3;2;13
2018;CD Huachipato;Nicolás Larcamón;;;;;1;0;9
2018;Deportes Iquique;Luis Musrri;Erick Guerrero;Miguel Riffo;;;3;2;14
2018;Unión Española;Martín Palermo;Fernando Díaz;;;;2;1;7
2018;CD O'Higgins;Mauricio Larriera;Marco Antonio Figueroa;Gabriel Milito;;;3;2;8
2018;Deportes Temuco;Dalcio Giovagnoli;Miguel Ponce;;;;2;1;14
2018;San Luis de Quillota;Miguel Ramírez;Diego Osella;Mauricio Riffo;;;3;2;15
2018;Curicó Unido;Luis Marcoleta;Damián Muñoz;Jaime Vera;;;3;2;12
2018;Audax Italiano;Hugo Vilches;Juan José Ribera;;;;2;1;10
2019;CSD Colo-Colo;Mario Salas;;;;;1;0;2
2019;CD Universidad Católica;Gustavo Quinteros;;;;;1;0;1
2019;CD Everton;Javier Torrente;Gustavo Díaz;;;;2;1;11
2019;CD Palestino;Ivo Basay;;;;;1;0;3
2019;Unión La Calera;Walter Coyette;Francisco Meneghini;;;;2;1;4
2019;Universidad de Chile;Frank Darío Kudelka;Alfredo Arias;Hernán Caputto;;;3;2;15
2019;CD O'Higgins;Marco Antonio Figueroa;;;;;1;0;8
2019;Unión Española;Ronald Fuentes;Fernando Díaz;;;;2;1;9
2019;Deportes Iquique;Pablo Sánchez;Jaime Vera;;;;2;1;14
